Sequence Size,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Accuracy on Device 10 Probe-Again,Accuracy on Device 7 Cut,Accuracy on Device 7 Probe-Again
200,0.23560744692950578,89.7648521541705,0.232681061084217,89.85260464529614,81.25824,85.0,63.48352
250,0.19552630687487077,91.71526233940743,0.19830650668074418,91.56318768568217,85.432,82.0,55.5304
300,0.15460534713513735,93.63734512126183,0.1669894141997917,93.18697833326125,81.05907877810418,91.0,68.49931839563773
350,0.1235977668247789,95.05312722151794,0.13901647868341607,94.45271356942386,88.54790838326707,85.0,61.90737525900207
400,0.09270404426332592,96.39513152000988,0.11348524494607892,95.50401845244531,93.12256,93.0,63.8528
450,0.07803252060639546,96.97974390118874,0.09750093347407174,96.33182638311675,86.03335061344393,93.0,72.09406140199297
500,0.05970688286934336,97.72362621131468,0.0919659398547755,96.68965765798235,91.2784,97.0,65.9168
550,0.04855702864864946,98.17154629541135,0.07852368199174069,97.2902119561716,93.57773944876624,95.0,63.124361997958395
600,0.033801456049670005,98.7513699249061,0.05551198368652605,98.08670642107596,90.79930111552714,97.0,81.82708369333564
650,0.03010385385302777,98.91009952683962,0.06410998725735463,97.88973684672918,94.56069556535485,97.0,67.40369415092769
700,0.02373584096585716,99.14576817337662,0.05562574314686291,98.32154864102839,88.76170422472111,99.0,76.6699520630796
750,0.02002902014152292,99.28690594805015,0.05085450168597688,98.53616998269896,93.58949743195892,97.0,65.82825325205204
800,0.014423586649136936,99.48683409695468,0.03982667653776126,98.79973183197687,96.05498950386566,99.0,72.56924888638575
850,0.01564221471516881,99.44358730262942,0.04245242172378257,98.60060050859401,94.81286040691981,98.0,67.37297356109238
900,0.014007620087535727,99.50887193479431,0.037341519663580014,98.88567188146274,97.11998156788204,97.0,55.218593398997754
950,0.013098541153956077,99.55274917997902,0.03657098959397263,98.90933995377108,98.18507934577734,97.0,54.14969295312215
1000,0.010119292863543593,99.65357298718953,0.02575071822986631,99.23133070802281,97.8464,98.0,67.8048
1050,0.009792214550303798,99.66948918844388,0.029455109633222853,99.2193561817528,96.39797049830315,99.0,67.32300661940123
1100,0.00915832655129587,99.69283711445323,0.024428449474958182,99.3338488074704,96.92351015523249,100.0,68.36213875884403
1150,0.009181690279639753,99.70773870596648,0.02227934909845242,99.2506917887013,98.56475177565966,99.0,52.42704154859603
1200,0.008900482223202723,99.7182001891025,0.018433181906276182,99.4798200458537,96.2635843477593,99.0,77.58150608655582
1250,0.0077104187988420465,99.74605320330227,0.01602959476441147,99.54151177199505,97.448,100.0,60.932
1300,0.007237699800231414,99.75496472596721,0.01779161931162945,99.47746417817768,99.42590897745237,98.0,51.06498044762459
1350,0.007377574315568069,99.77578124592625,0.025283375289389596,99.06072441021523,99.57663729047866,96.0,47.727665457058926
1400,0.006565682680502238,99.80370314291277,0.012862153047774084,99.63156433744669,97.86299896958022,100.0,74.89359795708077
1450,0.006322346813807393,99.80285192611427,0.015332275268105332,99.65237846314689,99.00700663542295,100.0,61.18509581921953
1500,0.0067142904614190275,99.78909921028084,0.011769916178424503,99.60929578607255,99.51519224307589,100.0,60.99457591321461
1550,0.004978152338401663,99.83834658492192,0.008459214176763657,99.75971612975329,99.03774614354447,100.0,62.50682009820942
1600,0.004840024090595845,99.8374566602597,0.00992008413295942,99.71879731775903,99.80543750960013,99.0,66.54549178229482
1650,0.004939197881844729,99.85213134815419,0.012121823429739631,99.62672139436661,99.80991604625376,100.0,40.809968847352025
1700,0.004788684887832517,99.85487069701468,0.010142553421475414,99.65676810395023,99.22206506364923,100.0,63.71994342291372
1750,0.005655122443059806,99.8323486067358,0.010510148750073986,99.79652354963879,99.83759870078961,100.0,59.39407515260122
1800,0.004816925660850273,99.84911380434858,0.00852347695346981,99.76475169135422,99.59103738263924,98.0,61.52295374690398
1850,0.005325433134399407,99.84062435231309,0.013153193026814293,99.67648873547118,99.8756734355574,99.0,55.49108992954828
