Sequence Size,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Accuracy on Device 10 Probe-Again,Accuracy on Device 7 Cut,Accuracy on Device 7 Probe-Again
8700,0.0037307400510386223,99.90569532855073,0.001334505359421075,99.96070726915521,100.0,100.0,37.092731829573935
8750,0.004041051700112292,99.85435577834981,0.0008538545076280318,99.98419472103683,100.0,100.0,65.52786334360123
8800,0.002096771821205218,99.94549851824097,0.0005259084959796825,99.98410553921958,100.0,100.0,18.980568853843987
8850,0.008321930498392832,99.84241718337844,0.06664891395701023,98.00175845256175,99.66015293118097,100.0,99.886717643727
8900,0.005455750345501789,99.89665150888797,0.0022236269691692737,99.93570165568237,100.0,100.0,30.73198518940473
8950,0.0004777340862753945,99.97921141986002,0.00023960510182040873,99.99191592562651,100.0,100.0,65.42537954740762
9000,0.004161098139617969,99.86761888172792,0.001279525643697773,99.95935950581159,100.0,100.0,22.782258064516128
9050,0.0030051524891052577,99.93693946188341,0.0005932000312604017,99.96730423410169,100.0,100.0,40.16796988126267
9100,0.0012585237555520533,99.95420438933314,5.290416969706636e-05,100.0,100.0,100.0,73.55853232382061
9150,0.000925054375687942,99.96812015160639,8.096396438523731e-05,100.0,100.0,100.0,40.29282576866764
9200,0.006117307138801987,99.81477523687397,0.0019861362688720274,99.9501329787234,100.0,100.0,36.984687868080094
9250,0.0014951633482069434,99.94270777383893,0.00100397165596416,99.9665803325257,100.0,100.0,49.940793368857314
9300,0.00204034755819751,99.89559331797236,0.003103039366435105,99.8991935483871,100.0,100.0,39.017857142857146
9350,0.0006431568499087351,99.96380614571646,0.006747968506584661,99.8733215100076,100.0,100.0,93.80610412926391
9400,0.001887031612936441,99.94540888743313,0.0007106603499318677,99.97452661968244,100.0,100.0,97.56317689530685
9450,0.012133471010100618,99.6743505305525,0.0006627000415256113,99.974389619259,100.0,100.0,16.636418632788867
9500,0.003483077334514762,99.89333921806613,0.00044140065092580094,99.98283703767271,100.0,100.0,63.453937366980846
9550,0.005653436710765737,99.84841762792074,0.00043184353374650506,99.98274672187716,100.0,100.0,61.98044009779951
9600,0.002500685282864165,99.94053370995317,0.0004388678014442665,99.98265695456122,100.0,100.0,45.284178187403995
9650,0.003373474321922296,99.91033065570709,0.0018901427532578142,99.91282364222823,100.0,100.0,54.84867201976529
9700,0.002236065566214115,99.92487698606467,0.0004947437312396082,99.99123652615897,100.0,100.0,67.24619683328159
9750,0.002986114310117345,99.91695606220746,0.012730043918762816,99.82385062533028,100.0,100.0,2.4648985959438376
9800,0.0003866235008316285,99.98481973434535,0.0021751180876162187,99.94687444660882,100.0,100.0,62.26474278544542
9850,0.0007904391802683384,99.98092986002517,0.0005892762868553498,99.96440331049213,100.0,100.0,50.47288776796974
9900,0.000204049496067547,99.99616667305554,0.0005499970051502923,99.97316876844647,100.0,100.0,45.97591888466413
9950,0.008687342699762958,99.76498690090924,0.006020936246419877,99.84717727436174,100.0,98.0,9.713375796178344
10000,0.0043452856763751295,99.89547038327527,0.000451313975966192,99.98193315266487,100.0,100.0,52.96
