Sequence Size,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Accuracy on Device 10 Probe-Again,Accuracy on Device 7 Cut,Accuracy on Device 7 Probe-Again
7000,0.0034707767829393224,99.89709426706746,0.0011002977295869777,99.97472673279839,100.0,100.0,84.61021505376344
7050,0.0029544638917411645,99.92089470812876,0.0064067267999912735,99.74541751527495,100.0,99.0,8.235559566787003
7100,0.0012646492170919044,99.95329926927091,0.00013688865049969179,100.0,100.0,100.0,70.39309247898206
7150,0.0028845248709582464,99.90317851116214,0.002555288387141172,99.88381849867682,100.0,100.0,37.00228832951945
7200,0.0056765655570937225,99.88299857926846,0.006137554133527615,99.91550211244719,99.97695852534562,100.0,88.57142857142857
7250,0.0024017633317484667,99.92145642234004,0.006141473186631671,99.76438248576477,100.0,100.0,34.70997679814385
7300,0.002583844077389244,99.93785486285698,0.0006226309256896014,99.96704672774007,100.0,100.0,81.44859813084112
7350,0.002531316080688001,99.93174643801723,0.0005720883968140356,99.97345896091832,100.0,100.0,86.54434250764525
7400,0.001389243261904436,99.93413705220354,0.001883357881340458,99.953230440302,100.0,100.0,85.97820937944103
7450,0.007777227805832878,99.79244140793912,0.0023709031999405144,99.94618954731956,100.0,100.0,83.21411540295661
7500,0.0023858397180335066,99.93615045275133,0.044523647056603416,97.94826652221019,100.0,100.0,88.31012962073932
7550,0.003822166681765315,99.89192031313898,0.0014899740457207727,99.97955288985824,100.0,100.0,63.13119110896352
7600,0.0033884371469590597,99.9235316608335,0.001181660208962545,99.97941398476635,100.0,100.0,87.76453417659937
7650,0.0043446839027935944,99.91118742413926,0.0037381613016602426,99.88257235615113,100.0,100.0,22.67384916748286
7700,0.0024219642997234565,99.9255109945772,0.0009072689775840914,99.972191323693,100.0,100.0,48.4228684080828
7750,0.0047994257677236,99.90703253861149,0.0037588907539958796,99.90203624658876,100.0,100.0,41.0218253968254
7800,0.00446443891270148,99.85814318483641,0.0008277035654578412,99.98591549295774,100.0,100.0,58.512231652521216
7850,0.0026271037884574937,99.93012304420478,0.003395725296016241,99.92202452683065,100.0,100.0,92.28643216080403
7900,0.001439539254079257,99.96025437201908,0.00028074972515581154,99.9928663147382,100.0,100.0,67.40834386852086
7950,0.016263555610179392,99.70461538461538,0.0005173833685282321,99.99282124910266,100.0,100.0,84.55470737913485
8000,0.0020594954055798476,99.95046899668762,0.0017011032848866508,99.95666305525461,100.0,100.0,87.40399385560676
8050,0.006964033019508717,99.82863908275175,0.005124873879009659,99.77464379179995,100.0,100.0,51.86807523834064
8100,0.003337615056220267,99.93417753259779,0.0004488142616756037,99.99268685095802,100.0,100.0,67.41835147744946
8150,0.013045769031701408,99.71610623935399,0.004625882884129754,99.84545186929644,100.0,100.0,90.87115284298383
8200,0.00590158856017854,99.86353105461932,0.0003314617769532889,99.98519067012218,100.0,99.0,38.16272965879265
8250,0.0016354705786137478,99.95210269182871,0.005444294670342924,99.8584519108992,100.0,99.0,40.48059149722736
8300,0.004085439880888205,99.90363303459574,0.002126195070484561,99.93254890204602,100.0,100.0,64.7808764940239
8350,0.0020803039910122193,99.9321354705274,0.0007524963339277843,99.97737897752978,100.0,100.0,87.01229289150187
8400,0.001066908445803916,99.98049224566765,0.004808106683728452,99.94690131229613,100.0,100.0,29.650537634408604
8450,0.0032436905661093504,99.91169255928045,0.00021772430524825924,99.99236932468523,100.0,100.0,36.452136289886425
8500,0.00014811840768599023,99.99341953739348,0.0010517446641188973,99.98464727105242,100.0,100.0,50.40805223068553
8550,0.0032251131370335654,99.92388138734445,0.004690644691508496,99.82239382239382,100.0,100.0,66.39299397920088
8600,0.0025562246158377716,99.91344585372349,0.002397324045365166,99.9378640776699,100.0,100.0,56.37214423341591
8650,0.004093320051791397,99.90625104630529,0.0004915096446130549,99.98437622060777,100.0,100.0,73.97563676633445
